age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,c_jail_in,c_jail_out,new_in,new_out,LengthOfStay
24,F,African-American,Less than 25,High,Female,6,-1.0,9,1,2014-07-12 06:31:35,2014-08-07 08:23:48,2014-07-12,2014-08-07,26
54,M,African-American,Greater than 45,Low,Male,2,-26.0,1,0,2013-12-21 05:27:36,2013-12-22 01:10:00,2013-12-21,2013-12-22,1
58,M,African-American,Greater than 45,Medium,Male,12,-1.0,6,1,2013-11-23 08:54:38,2013-11-27 08:50:05,2013-11-23,2013-11-27,4
40,M,Hispanic,25 - 45,Low,Male,1,0.0,1,0,2014-10-22 04:09:57,2014-10-23 03:12:35,2014-10-22,2014-10-23,1
23,M,Caucasian,Less than 25,Medium,Male,1,0.0,5,1,2014-12-15 01:06:38,2014-12-15 07:32:18,2014-12-15,2014-12-15,0
35,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,2014-03-09 10:01:46,2014-03-10 09:42:18,2014-03-09,2014-03-10,1
53,F,African-American,Greater than 45,Medium,Male,17,222.0,6,0,2015-03-02 12:31:25,2015-09-17 06:24:37,2015-03-02,2015-09-17,199
20,F,African-American,Less than 25,High,Male,1,0.0,10,1,2013-11-19 02:33:54,2013-11-21 03:37:00,2013-11-19,2013-11-21,2
24,F,African-American,Less than 25,Low,Male,1,-243.0,4,0,2013-08-09 02:50:49,2013-08-10 03:52:45,2013-08-09,2013-08-10,1
51,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,2013-02-04 02:44:33,2013-03-11 09:01:18,2013-02-04,2013-03-11,35
24,F,Hispanic,Less than 25,High,Male,0,0.0,10,0,2013-04-27 02:50:45,2013-04-28 03:43:53,2013-04-27,2013-04-28,1
37,F,Caucasian,25 - 45,Low,Male,3,-14.0,2,0,2013-05-16 08:42:26,2013-05-23 06:52:01,2013-05-16,2013-05-23,7
46,F,African-American,Greater than 45,Low,Female,0,-2.0,1,0,2014-11-04 02:28:08,2014-11-06 12:35:02,2014-11-04,2014-11-06,2
47,F,Caucasian,Greater than 45,Low,Male,3,-1.0,1,0,2014-02-25 11:20:43,2014-02-26 09:34:42,2014-02-25,2014-02-26,1
44,F,African-American,25 - 45,Low,Male,3,-1.0,4,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
34,F,Caucasian,25 - 45,Medium,Male,4,-1.0,6,1,2014-12-23 08:14:59,2014-12-24 08:59:44,2014-12-23,2014-12-24,1
56,F,Caucasian,Greater than 45,Low,Male,0,-2.0,1,0,2013-09-01 11:41:31,2013-09-02 08:47:35,2013-09-01,2013-09-02,1
34,F,Hispanic,25 - 45,Low,Male,4,-1.0,1,1,2013-12-22 11:14:06,2014-01-23 05:54:28,2013-12-22,2014-01-23,32
59,F,Caucasian,Greater than 45,Low,Male,1,-2.0,1,1,2013-02-23 01:07:25,2013-02-23 09:07:54,2013-02-23,2013-02-23,0
35,F,Asian,25 - 45,Medium,Male,0,-1.0,6,0,2013-05-15 03:27:43,2013-08-24 05:06:24,2013-05-15,2013-08-24,101
58,F,Hispanic,Greater than 45,Low,Male,1,-11.0,1,0,2013-01-27 07:57:13,2013-02-06 10:02:46,2013-01-27,2013-02-06,10
29,M,Hispanic,25 - 45,Low,Male,2,-26.0,4,0,2013-01-11 06:07:32,2013-01-12 04:14:13,2013-01-11,2013-01-12,1
53,M,Caucasian,Greater than 45,Low,Female,1,-23.0,1,0,2014-08-27 08:15:35,2014-09-19 03:46:00,2014-08-27,2014-09-19,23
35,F,African-American,25 - 45,Medium,Male,0,0.0,5,0,2014-07-31 03:57:02,2014-08-07 08:23:56,2014-07-31,2014-08-07,7
29,F,Caucasian,25 - 45,Low,Male,1,-66.0,3,0,2013-12-23 02:32:27,2014-01-29 11:14:01,2013-12-23,2014-01-29,37
30,M,African-American,25 - 45,Low,Male,4,-1.0,1,0,2014-08-05 02:13:00,2014-08-06 02:14:42,2014-08-05,2014-08-06,1
24,F,Caucasian,Less than 25,High,Female,6,0.0,9,1,2014-04-16 02:28:47,2014-04-19 11:22:18,2014-04-16,2014-04-19,3
21,M,Caucasian,Less than 25,High,Male,2,-1.0,9,1,2013-11-05 11:10:50,2013-11-14 01:27:06,2013-11-05,2013-11-14,9
26,M,African-American,25 - 45,High,Male,2,-1.0,9,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
50,F,Asian,Greater than 45,Medium,Male,5,0.0,7,1,2014-11-21 02:03:06,2014-12-02 08:28:45,2014-11-21,2014-12-02,11
24,O,African-American,Less than 25,Medium,Male,0,-1.0,5,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
33,F,Caucasian,25 - 45,High,Male,0,-3.0,9,0,2014-08-22 03:45:16,2014-08-22 08:06:35,2014-08-22,2014-08-22,0
26,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,2013-02-12 03:08:29,2013-02-13 08:21:18,2013-02-12,2013-02-13,1
49,F,African-American,Greater than 45,Medium,Male,18,-1.0,7,0,2013-05-21 01:49:49,2014-02-20 07:00:54,2013-05-21,2014-02-20,275
30,M,Caucasian,25 - 45,Low,Female,0,-1.0,2,0,2013-09-05 10:47:19,2013-09-06 11:08:59,2013-09-05,2013-09-06,1
31,F,African-American,25 - 45,Medium,Male,6,-1.0,5,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
37,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,0,2014-11-24 04:14:25,2014-12-23 05:37:40,2014-11-24,2014-12-23,29
61,O,African-American,Greater than 45,Medium,Male,0,-1.0,5,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
60,M,Caucasian,Greater than 45,Low,Female,5,-1.0,4,0,2014-06-03 02:08:58,2014-06-03 01:16:36,2014-06-03,2014-06-03,0
29,F,Caucasian,25 - 45,High,Male,6,-43.0,9,1,2013-08-19 01:15:23,2013-09-06 08:35:02,2013-08-19,2013-09-06,18
55,F,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,2014-05-05 12:17:22,2014-05-06 05:17:26,2014-05-05,2014-05-06,1
29,M,Caucasian,25 - 45,Low,Male,0,0.0,4,1,2014-03-26 12:14:14,2014-03-27 12:18:56,2014-03-26,2014-03-27,1
54,M,African-American,Greater than 45,Low,Male,0,-1.0,1,0,2013-02-17 03:23:30,2013-02-18 06:40:01,2013-02-17,2013-02-18,1
29,F,African-American,25 - 45,Low,Male,4,-1.0,4,1,2013-11-12 01:08:14,2013-11-20 06:26:56,2013-11-12,2013-11-20,8
29,F,African-American,25 - 45,High,Male,12,-1.0,8,0,2014-11-14 06:37:03,2014-11-15 11:28:36,2014-11-14,2014-11-15,1
59,M,Caucasian,Greater than 45,Low,Female,0,-2.0,1,0,2013-10-09 09:01:32,2013-10-10 07:57:22,2013-10-09,2013-10-10,1
38,F,African-American,25 - 45,Medium,Male,0,0.0,5,0,2013-03-27 01:50:02,2013-03-28 08:18:15,2013-03-27,2013-03-28,1
22,F,Hispanic,Less than 25,Medium,Female,2,49.0,5,1,2013-10-30 01:49:29,2013-11-18 01:00:50,2013-10-30,2013-11-18,19
27,M,Caucasian,25 - 45,Low,Male,1,102.0,-1,0,2013-08-23 09:11:34,2014-01-07 02:22:59,2013-08-23,2014-01-07,137
29,F,African-American,25 - 45,Medium,Male,4,-53.0,7,1,2014-08-03 09:45:47,2014-08-29 07:47:26,2014-08-03,2014-08-29,26
59,O,African-American,Greater than 45,Medium,Male,0,-1.0,6,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
27,M,Caucasian,25 - 45,Low,Male,1,-1.0,3,1,2013-02-20 09:27:13,2013-02-21 12:19:53,2013-02-20,2013-02-21,1
26,F,Hispanic,25 - 45,Medium,Male,7,-1.0,5,1,2014-05-17 07:40:21,2014-05-18 09:31:41,2014-05-17,2014-05-18,1
52,F,Hispanic,Greater than 45,Low,Male,20,-1.0,3,0,2013-04-20 10:15:03,2013-05-18 07:59:38,2013-04-20,2013-05-18,28
66,F,African-American,Greater than 45,Medium,Male,33,0.0,6,1,2013-12-21 12:34:16,2014-01-04 03:41:19,2013-12-21,2014-01-04,14
31,O,African-American,25 - 45,Medium,Male,0,-1.0,6,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
27,O,African-American,25 - 45,Low,Female,0,-1.0,3,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
22,F,African-American,Less than 25,High,Male,0,-1.0,10,0,2014-11-12 10:25:38,2014-11-13 02:06:34,2014-11-12,2014-11-13,1
27,F,Caucasian,25 - 45,Medium,Male,2,0.0,5,0,2013-03-09 02:19:02,2013-03-09 09:06:46,2013-03-09,2013-03-09,0
51,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,2013-04-21 02:10:18,2013-04-22 03:59:29,2013-04-21,2013-04-22,1
35,F,Caucasian,25 - 45,Low,Male,1,0.0,2,0,2013-10-03 07:44:08,2013-12-16 08:06:46,2013-10-03,2013-12-16,74
71,M,Caucasian,Greater than 45,Low,Male,2,-17.0,1,0,2014-10-27 08:59:23,2014-11-01 02:49:58,2014-10-27,2014-11-01,5
36,M,African-American,25 - 45,Low,Male,0,-1.0,1,0,2014-11-01 11:14:29,2014-11-02 09:11:10,2014-11-01,2014-11-02,1
26,F,African-American,25 - 45,Medium,Male,1,-1.0,7,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
52,M,Caucasian,Greater than 45,Low,Male,4,-1.0,3,0,2014-02-02 02:24:43,2014-02-03 01:24:23,2014-02-02,2014-02-03,1
43,O,Other,25 - 45,Low,Female,0,-1.0,1,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
39,F,Caucasian,25 - 45,Low,Male,4,-1.0,1,0,2014-10-02 08:37:13,2014-10-09 12:23:14,2014-10-02,2014-10-09,7
30,F,Caucasian,25 - 45,Medium,Male,1,-1.0,5,0,2014-06-06 01:42:05,2014-06-07 02:01:46,2014-06-06,2014-06-07,1
35,M,African-American,25 - 45,Low,Female,12,-54.0,2,0,2013-03-23 12:31:12,2013-03-23 02:23:21,2013-03-23,2013-03-23,0
25,F,African-American,25 - 45,High,Male,2,-1.0,8,0,2013-05-06 08:05:23,2013-08-22 06:22:07,2013-05-06,2013-08-22,108
48,F,Other,Greater than 45,Medium,Male,12,0.0,5,0,2013-03-16 03:19:01,2013-03-17 08:00:36,2013-03-16,2013-03-17,1
55,F,African-American,Greater than 45,High,Male,1,-1.0,9,0,2014-02-24 03:25:48,2014-07-10 06:26:54,2014-02-24,2014-07-10,136
62,F,Hispanic,Greater than 45,Low,Female,0,-1.0,1,0,2014-12-04 05:43:16,2014-12-05 08:30:55,2014-12-04,2014-12-05,1
34,F,Caucasian,25 - 45,Medium,Female,4,-1.0,6,0,2014-04-30 05:56:53,2014-05-20 05:27:23,2014-04-30,2014-05-20,20
26,M,African-American,25 - 45,Low,Female,0,-1.0,2,0,2013-10-26 02:28:18,2013-10-27 08:36:51,2013-10-26,2013-10-27,1
48,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,2014-01-14 04:43:41,2014-01-15 03:21:55,2014-01-14,2014-01-15,1
30,M,Hispanic,25 - 45,Low,Male,7,-1.0,4,0,2013-08-26 11:08:06,2013-10-03 05:13:08,2013-08-26,2013-10-03,38
28,M,Other,25 - 45,Low,Male,2,-1.0,1,0,2013-11-02 05:18:38,2013-11-04 04:03:11,2013-11-02,2013-11-04,2
33,M,African-American,25 - 45,Low,Male,2,0.0,3,0,2013-10-08 02:14:25,2013-10-08 11:59:33,2013-10-08,2013-10-08,0
34,F,African-American,25 - 45,Low,Female,6,-1.0,4,0,2013-04-22 08:12:13,2013-06-13 09:46:00,2013-04-22,2013-06-13,52
22,F,African-American,Less than 25,High,Female,1,-1.0,9,0,2014-10-16 05:01:48,2014-11-04 10:13:36,2014-10-16,2014-11-04,19
25,M,Other,25 - 45,Low,Male,0,0.0,1,0,2013-12-20 03:36:29,2013-12-20 02:06:03,2013-12-20,2013-12-20,0
59,F,African-American,Greater than 45,Medium,Male,10,-1.0,7,1,2014-11-05 07:10:16,2015-03-12 10:11:59,2014-11-05,2015-03-12,127
29,F,African-American,25 - 45,Medium,Male,5,-1.0,5,1,2014-06-10 04:43:13,2014-06-12 09:19:13,2014-06-10,2014-06-12,2
42,M,Other,25 - 45,Low,Male,0,0.0,1,0,2014-09-04 04:11:34,2014-09-04 08:08:43,2014-09-04,2014-09-04,0
24,F,Caucasian,Less than 25,Low,Male,0,0.0,2,0,2013-04-10 01:50:54,2013-04-11 07:15:22,2013-04-10,2013-04-11,1
58,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,2014-11-09 01:15:54,2014-11-10 08:03:21,2014-11-09,2014-11-10,1
48,F,Caucasian,Greater than 45,Medium,Male,1,-1.0,7,1,2013-03-01 07:50:26,2013-07-08 08:13:11,2013-03-01,2013-07-08,129
54,F,Caucasian,Greater than 45,Low,Female,2,0.0,1,0,2014-06-15 03:30:26,2014-06-16 01:18:35,2014-06-15,2014-06-16,1
55,M,African-American,Greater than 45,High,Male,0,61.0,8,1,2013-04-10 01:10:20,2013-05-25 07:54:19,2013-04-10,2013-05-25,45
30,M,African-American,25 - 45,Low,Male,0,0.0,2,0,2014-06-02 03:57:39,2014-06-04 04:35:30,2014-06-02,2014-06-04,2
24,F,Caucasian,Less than 25,Medium,Male,3,-214.0,5,0,2013-11-27 04:57:52,2013-11-28 02:47:36,2013-11-27,2013-11-28,1
52,M,African-American,Greater than 45,Medium,Male,4,0.0,5,0,2014-01-21 01:50:50,2014-01-22 02:48:22,2014-01-21,2014-01-22,1
20,F,African-American,Less than 25,Low,Male,0,0.0,4,1,2014-10-18 01:22:59,2014-10-18 08:58:59,2014-10-18,2014-10-18,0
25,F,Caucasian,25 - 45,Low,Male,4,-5.0,4,1,2014-05-10 01:35:17,2014-05-15 10:32:57,2014-05-10,2014-05-15,5
24,F,Caucasian,Less than 25,Low,Male,0,-1.0,2,0,2013-01-01 05:32:16,2013-01-16 06:22:12,2013-01-01,2013-01-16,15
23,M,Caucasian,Less than 25,High,Male,0,-1.0,9,0,2013-01-19 07:06:05,2013-01-20 12:29:47,2013-01-19,2013-01-20,1
27,F,Caucasian,25 - 45,Low,Male,6,-1.0,4,1,2013-10-18 01:19:43,2013-10-19 08:00:03,2013-10-18,2013-10-19,1
53,F,African-American,Greater than 45,Low,Male,1,0.0,1,0,2014-11-21 02:54:37,2014-11-21 09:14:51,2014-11-21,2014-11-21,0
25,M,African-American,25 - 45,Low,Male,1,-1.0,3,1,2014-06-12 12:59:13,2014-06-13 08:53:42,2014-06-12,2014-06-13,1
29,F,Other,25 - 45,Low,Female,0,-1.0,2,0,2014-10-20 03:57:47,2014-10-21 02:10:47,2014-10-20,2014-10-21,1
31,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,2013-08-16 06:01:59,2013-08-16 06:08:13,2013-08-16,2013-08-16,0
25,F,African-American,25 - 45,Low,Male,6,-1.0,4,1,2014-04-12 01:03:26,2014-04-16 08:49:06,2014-04-12,2014-04-16,4
32,F,Caucasian,25 - 45,Low,Male,1,-7.0,1,1,2014-01-14 10:07:59,2014-01-15 01:58:04,2014-01-14,2014-01-15,1
21,F,Caucasian,Less than 25,Low,Male,0,-1.0,3,1,2014-04-06 12:28:23,2014-04-06 02:30:38,2014-04-06,2014-04-06,0
45,F,Caucasian,Greater than 45,Medium,Male,10,-1.0,5,0,2014-03-03 11:42:26,2014-03-14 10:14:59,2014-03-03,2014-03-14,11
37,F,Other,25 - 45,Low,Male,1,-1.0,1,0,2013-02-20 08:05:01,2013-02-25 09:11:42,2013-02-20,2013-02-25,5
25,F,Caucasian,25 - 45,Low,Male,0,0.0,3,0,2013-12-08 01:39:45,2013-12-08 01:45:29,2013-12-08,2013-12-08,0
21,M,African-American,Less than 25,Low,Male,0,0.0,3,0,2014-07-02 02:25:15,2014-07-02 08:24:48,2014-07-02,2014-07-02,0
32,F,Hispanic,25 - 45,High,Male,20,0.0,10,0,2013-01-01 05:08:53,2013-01-02 03:08:56,2013-01-01,2013-01-02,1
35,F,African-American,25 - 45,Medium,Male,0,-1.0,7,0,2013-04-24 07:43:40,2013-04-26 08:46:06,2013-04-24,2013-04-26,2
34,F,Caucasian,25 - 45,High,Male,28,-86.0,10,0,2014-06-17 12:22:33,2014-09-11 11:26:21,2014-06-17,2014-09-11,86
42,F,African-American,25 - 45,Medium,Male,14,-1.0,7,1,2014-02-08 09:03:23,2014-02-10 02:33:36,2014-02-08,2014-02-10,2
31,O,Hispanic,25 - 45,Medium,Female,0,-1.0,6,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
24,M,Caucasian,Less than 25,High,Male,9,-23.0,10,1,2013-08-17 01:46:04,2013-08-27 03:55:32,2013-08-17,2013-08-27,10
26,F,Caucasian,25 - 45,Low,Female,1,-1.0,2,0,2014-10-29 07:15:19,2014-10-30 08:46:23,2014-10-29,2014-10-30,1
35,M,African-American,25 - 45,Medium,Male,6,-1.0,7,0,2014-07-05 02:12:03,2014-09-13 11:39:38,2014-07-05,2014-09-13,70
26,F,Caucasian,25 - 45,High,Female,0,-1.0,9,0,2014-11-12 09:58:59,2014-12-15 08:48:06,2014-11-12,2014-12-15,33
22,F,Caucasian,Less than 25,High,Male,6,168.0,10,1,2014-12-30 03:25:32,2015-03-02 11:38:08,2014-12-30,2015-03-02,62
21,F,Hispanic,Less than 25,Medium,Male,0,-1.0,6,1,2013-08-23 09:06:45,2013-08-24 08:56:18,2013-08-23,2013-08-24,1
47,M,Caucasian,Greater than 45,Low,Male,1,0.0,1,0,2013-03-20 02:25:51,2013-03-20 07:51:16,2013-03-20,2013-03-20,0
71,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,2014-04-06 12:20:20,2014-04-07 02:08:08,2014-04-06,2014-04-07,1
21,M,African-American,Less than 25,Low,Female,0,-1.0,4,0,2014-07-09 06:08:29,2014-07-10 01:41:42,2014-07-09,2014-07-10,1
68,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,2014-04-29 02:30:27,2014-04-30 02:57:12,2014-04-29,2014-04-30,1
27,F,African-American,25 - 45,High,Male,5,-1.0,9,1,2014-03-20 02:19:43,2014-03-21 07:57:16,2014-03-20,2014-03-21,1
43,M,Hispanic,25 - 45,Low,Male,2,-12.0,1,1,2014-10-03 04:35:53,2014-10-07 09:34:35,2014-10-03,2014-10-07,4
46,F,Caucasian,Greater than 45,Medium,Male,2,-1.0,6,1,2013-11-16 09:37:06,2013-11-17 08:25:25,2013-11-16,2013-11-17,1
44,M,African-American,25 - 45,Low,Male,1,0.0,3,0,2013-01-29 06:36:33,2013-01-29 08:34:07,2013-01-29,2013-01-29,0
39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,2014-08-24 08:16:51,2014-08-25 01:31:58,2014-08-24,2014-08-25,1
27,F,African-American,25 - 45,Medium,Male,0,-1.0,5,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
23,F,Caucasian,Less than 25,Low,Male,2,-1.0,2,0,2013-12-12 11:10:00,2013-12-13 08:47:02,2013-12-12,2013-12-13,1
50,F,Hispanic,Greater than 45,Low,Female,1,-1.0,1,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
42,F,African-American,25 - 45,Medium,Male,8,-1.0,5,0,2013-10-02 10:41:22,2013-10-04 05:24:16,2013-10-02,2013-10-04,2
58,F,African-American,Greater than 45,Medium,Male,6,-1.0,6,0,2013-05-21 03:25:30,2013-10-12 05:17:10,2013-05-21,2013-10-12,144
24,M,African-American,Less than 25,Low,Male,0,-1.0,3,0,2014-07-02 01:14:28,2014-07-03 08:49:40,2014-07-02,2014-07-03,1
49,F,African-American,Greater than 45,Medium,Male,15,-107.0,7,0,2014-01-08 03:42:48,2014-04-25 11:16:46,2014-01-08,2014-04-25,107
26,F,African-American,25 - 45,Medium,Male,3,-1.0,6,1,2013-01-24 09:05:00,2013-01-26 04:55:47,2013-01-24,2013-01-26,2
48,F,Other,Greater than 45,Low,Female,0,-1.0,1,0,2013-02-03 10:36:16,2013-02-20 12:12:55,2013-02-03,2013-02-20,17
39,F,African-American,25 - 45,Low,Male,3,-1.0,3,1,2013-10-29 05:34:04,2013-11-01 05:49:33,2013-10-29,2013-11-01,3
21,F,African-American,Less than 25,Medium,Male,3,0.0,5,1,2013-05-15 12:34:33,2013-05-15 07:01:43,2013-05-15,2013-05-15,0
63,M,Caucasian,Greater than 45,Low,Male,1,-9.0,1,0,2014-01-22 10:01:17,2014-01-28 03:54:00,2014-01-22,2014-01-28,6
22,F,African-American,Less than 25,Medium,Male,3,-11.0,7,1,2013-11-07 10:41:34,2013-11-15 08:48:23,2013-11-07,2013-11-15,8
50,M,African-American,Greater than 45,Low,Male,3,-1.0,3,0,2013-02-02 09:08:31,2013-02-03 06:57:55,2013-02-02,2013-02-03,1
26,O,Other,25 - 45,Low,Female,0,-1.0,2,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
38,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,2013-05-26 10:41:56,2013-06-05 09:47:42,2013-05-26,2013-06-05,10
41,F,Caucasian,25 - 45,Medium,Male,1,-6.0,6,0,2013-10-16 03:27:50,2013-10-22 10:32:34,2013-10-16,2013-10-22,6
28,F,African-American,25 - 45,High,Male,16,-1.0,8,1,2014-02-24 04:17:37,2014-02-25 08:09:24,2014-02-24,2014-02-25,1
30,M,African-American,25 - 45,Low,Female,0,0.0,3,0,2013-11-06 03:13:16,2013-11-07 09:03:30,2013-11-06,2013-11-07,1
23,F,African-American,Less than 25,Medium,Male,1,0.0,5,0,2013-04-24 02:27:23,2013-04-24 08:08:08,2013-04-24,2013-04-24,0
21,F,Caucasian,Less than 25,Low,Male,0,-1.0,3,0,2014-04-06 10:49:34,2014-04-07 08:24:56,2014-04-06,2014-04-07,1
25,F,Caucasian,25 - 45,Low,Male,2,-13.0,4,1,2014-01-10 03:47:24,2014-01-22 08:41:17,2014-01-10,2014-01-22,12
53,M,Caucasian,Greater than 45,Low,Male,2,-45.0,1,0,2014-10-21 11:34:03,2014-10-22 12:59:16,2014-10-21,2014-10-22,1
40,F,Caucasian,25 - 45,Low,Male,5,0.0,4,0,2013-09-15 03:23:56,2013-09-15 07:27:18,2013-09-15,2013-09-15,0
24,F,Hispanic,Less than 25,High,Male,8,0.0,8,0,2013-04-25 02:04:02,2013-04-25 01:19:35,2013-04-25,2013-04-25,0
23,M,Caucasian,Less than 25,High,Female,3,-65.0,8,0,2014-04-09 04:09:13,2014-05-14 10:23:00,2014-04-09,2014-05-14,35
41,O,Caucasian,25 - 45,Low,Male,0,-1.0,3,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
27,M,African-American,25 - 45,Low,Male,5,0.0,4,1,2013-12-22 05:35:31,2014-02-24 08:43:57,2013-12-22,2014-02-24,64
37,F,African-American,25 - 45,Low,Female,0,0.0,1,0,2014-11-01 01:16:37,2014-11-02 09:44:25,2014-11-01,2014-11-02,1
44,M,Caucasian,25 - 45,Low,Male,11,0.0,3,0,2013-09-07 03:37:40,2014-03-06 10:26:26,2013-09-07,2014-03-06,180
35,F,African-American,25 - 45,Low,Female,6,-1.0,2,1,2013-10-29 02:27:04,2013-10-30 08:32:44,2013-10-29,2013-10-30,1
42,M,Caucasian,25 - 45,Low,Male,0,0.0,1,0,2013-02-06 02:27:50,2013-02-06 07:49:59,2013-02-06,2013-02-06,0
38,F,African-American,25 - 45,Medium,Male,15,0.0,7,1,2014-01-24 04:04:57,2014-01-24 09:37:14,2014-01-24,2014-01-24,0
53,O,Other,Greater than 45,Low,Male,0,-1.0,1,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
26,F,Hispanic,25 - 45,Medium,Male,4,0.0,6,0,2013-03-06 12:02:54,2013-03-06 09:47:10,2013-03-06,2013-03-06,0
25,M,African-American,25 - 45,Low,Female,0,-1.0,3,0,2013-05-27 09:36:52,2013-05-28 09:04:37,2013-05-27,2013-05-28,1
34,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,2014-09-28 11:18:18,2014-09-29 01:21:56,2014-09-28,2014-09-29,1
22,F,African-American,Less than 25,Medium,Male,2,-1.0,7,0,2013-12-10 03:14:45,2013-12-11 09:07:02,2013-12-10,2013-12-11,1
36,O,African-American,25 - 45,Low,Male,0,-1.0,4,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
24,F,Caucasian,Less than 25,Low,Male,1,-1.0,4,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
64,F,Hispanic,Greater than 45,Low,Male,1,-8.0,1,0,2013-08-05 12:41:27,2013-08-13 02:27:19,2013-08-05,2013-08-13,8
49,M,Caucasian,Greater than 45,Low,Female,2,0.0,1,1,2014-01-21 03:14:16,2014-01-21 07:59:17,2014-01-21,2014-01-21,0
50,F,Caucasian,Greater than 45,Low,Male,5,-1.0,1,1,2014-12-14 04:50:01,2014-12-15 06:38:00,2014-12-14,2014-12-15,1
28,F,Caucasian,25 - 45,Medium,Male,8,162.0,6,1,2014-09-10 05:48:28,2014-10-11 05:18:30,2014-09-10,2014-10-11,31
66,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,1,2013-08-14 05:00:03,2013-08-15 04:51:13,2013-08-14,2013-08-15,1
32,O,Hispanic,25 - 45,Medium,Male,0,-1.0,6,-1,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
46,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,0,2013-08-20 09:12:14,2013-08-21 09:19:20,2013-08-20,2013-08-21,1
30,F,African-American,25 - 45,Medium,Male,5,-1.0,6,1,2013-03-03 06:23:59,2013-03-04 08:33:50,2013-03-03,2013-03-04,1
22,M,Caucasian,Less than 25,Low,Female,0,0.0,3,0,2014-01-22 12:55:30,2014-01-22 09:20:36,2014-01-22,2014-01-22,0
23,M,Caucasian,Less than 25,Low,Male,1,-1.0,4,0,2013-03-23 10:06:43,2013-04-02 09:22:16,2013-03-23,2013-04-02,10
30,M,Other,25 - 45,Medium,Male,0,-1.0,6,1,2013-12-06 07:17:34,2013-12-07 07:42:09,2013-12-06,2013-12-07,1
24,F,African-American,Less than 25,High,Male,10,75.0,10,1,2015-02-11 07:10:51,2015-02-28 12:17:14,2015-02-11,2015-02-28,17
53,F,Caucasian,Greater than 45,Medium,Male,0,-1.0,7,0,2014-01-09 04:27:16,2015-02-28 05:48:40,2014-01-09,2015-02-28,415
31,M,Hispanic,25 - 45,Low,Male,0,-1.0,1,0,2013-02-24 12:26:26,2013-02-25 01:51:33,2013-02-24,2013-02-25,1
56,M,Caucasian,Greater than 45,Low,Male,3,-1.0,1,0,2014-11-24 11:54:01,2013-09-12 10:31:00,2014-11-24,2013-09-12,438
31,F,Other,25 - 45,Low,Male,1,-1.0,2,0,2013-04-30 07:18:35,2013-05-01 03:47:37,2013-04-30,2013-05-01,1
31,F,Caucasian,25 - 45,Medium,Female,0,-2.0,7,0,2014-10-16 04:19:33,2014-10-21 03:30:28,2014-10-16,2014-10-21,5
21,F,African-American,Less than 25,Medium,Male,4,622.0,7,1,2014-11-10 05:41:58,2015-03-08 04:08:32,2014-11-10,2015-03-08,118
