"","X","case_received_date","case_status","country_of_citizenship","decision_date","employer_state","employer_name","employer_yr_estab","foreign_worker_info_birth_country","foreign_worker_info_education","job_info_alt_combo_ed","job_info_alt_occ_job_title","job_info_job_title","job_info_work_state","wage_offer_from_9089","wage_offer_unit_of_pay_9089","employer_size","Center","Career_Cluster"
"24746",24745,2014,"Certified-Expired","MEXICO",2015,"TEXAS","ERICSSON INC.",1984,"MEXICO","Bachelor's","Bachelor's","Please see H.14","Engineer Services Software (FSE)","CALIFORNIA",86923,"Year","Large","CA or VT",218960
"52348",52347,2016,"Certified","INDIA",2016,"NJ","""CAVALIER IT, INC.""",2007,"","Master's","Bachelor's","COMPUTER PROGRAMMER/ R&D ENGINEER/ ASSOCIATE ENGINEER","SENIOR PROGRAMMER ANALYST","NJ",111500,"Year","Medium","CA or VT",316316
"15114",15113,2014,"Certified-Expired","ZIMBABWE",2015,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"ZIMBABWE","Master's","Master's","Assurance Staff; Assurance Senior; or related","Assurance Manager","TEXAS",90530,"Year","Large","CA or VT",187235
"51627",51626,2016,"Certified","INDIA",2016,"CT","""TALENT IT SERVICES, INC""",2003,"","Master's","Bachelor's","Programmer Analyst or Related","Software Engineer (Job Code III)","CT",78874,"Year","Medium","Unknown",313983
"50526",50525,2016,"Certified","SOUTH KOREA",2016,"CA","TRIBEST CORPORATION",1988,"","Bachelor's","Master's","Positions related to computer network/system or related","Network and Computer Systems Administrator","CA",104000,"Year","Small","CA",310280
"17115",17114,2015,"Certified","INDIA",2015,"TEXAS","""PAYPAL DATA SERVICES, INC.""",2007,"INDIA","Bachelor's","Bachelor's","programmer analyst or software engineer","""MTS 1, Software Engineer""","TEXAS",113069,"Year","Large","Unknown",193735
"15665",15664,2014,"Certified","INDIA",2015,"TEXAS","""ANVETA, INC""",2007,"INDIA","Master's","Bachelor's","""*  Systems Analyst, Project Lead or Related""","Software Engineer","TEXAS",76773,"Year","Small","Unknown",188974
"5276",5275,2014,"Certified-Expired","CHINA",2014,"TEXAS","TEXAS A&M ENGINEERING EXPERIMENT STATION",1914,"CHINA","Doctorate","Master's","mechanics or civil engineering or related field*","TEES Research Engineering Associate III","TEXAS",65634,"Year","Large","CA or VT",155310
"18693",18692,2014,"Certified","INDIA",2015,"MICHIGAN","MEIJER GREAT LAKES LIMITED PARTNERSHIP",1934,"INDIA","Bachelor's","Master's","information technology system development and implementation experience","ITS Systems Coordinator/Analyst","MICHIGAN",91100,"Year","Large","CA or VT",198755
"64380",64379,2016,"Certified","INDIA",2016,"VA","COMPUTER SCIENCES CORPORATION",1959,"","Master's","Bachelor's","""Soft.Engr.,Lead Consult.Appl.Dvpmt.,Proj.Coord.&Liaison,or related exp.""","Programmer Analyst Senior Professional","CA",119683,"Year","Large","CA or VT",357670
"156",155,2011,"Denied","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","NEW JERSEY",74360,"Year","Large","CA or VT",136038
"65298",65297,2016,"Certified","INDIA",2016,"NJ","Avaap USA LLC",2006,"","Bachelor's","Bachelor's","""Software Programmer, Dev., Mgr. Consultant or related""","Sr. Technical Consultant","NJ",103700,"Year","Medium","CA or VT",360661
"35238",35237,2015,"Certified-Expired","INDIA",2016,"CA","""CADENCE DESIGN SYSTEMS, INC.""",1988,"","Bachelor's","Bachelor's","job offered or a related occupation","IT-Staff Business Systems Analyst","UT",110000,"Year","Large","CA or VT",258864
"33303",33302,2015,"Certified-Expired","GERMANY",2016,"WA","MICROSOFT CORPORATION",1975,"","Master's","Bachelor's","Any computer related occupation","Senior International Site Manager – Office Core Apps and Services or Other","WA",150900,"Year","Large","Unknown",251284
"28005",28004,2015,"Certified-Expired","INDIA",2015,"NJ","IT TRAILBLAZERS LLC",1999,"","Master's","Bachelor's","""Software Development, Systems Design or Project Management""","Systems Analyst","NJ",93101,"Year","Medium","CA or VT",231476
"1836",1835,2013,"Certified-Expired","INDIA",2015,"VIRGINIA","""CAPITAL ONE, NATIONAL ASSOCIATION""",1933,"INDIA","Bachelor's","Bachelor's","Any job title in which the required qualifications were obtained.","Senior MIS Analyst","VIRGINIA",75000,"Year","Large","CA or VT",141125
"44102",44101,2015,"Certified","INDIA",2016,"CA","""ARUBA NETWORKS, INC.""",2002,"","Bachelor's","Bachelor's","quality assurance or software experience","Staff Quality Assurance Engineer","CA",160000,"Year","Large","CA or VT",288687
"51752",51751,2015,"Denied","UNITED KINGDOM",2016,"TX","""Delta SubSea,LLC.""",2013,"","Other","Other","equivalent work experience and qualifications","Subsea Installation Specialist and Diving SME (Subject Matter Expert)","TX",131435,"Year","Medium","CA or VT",314329
"56728",56727,2016,"Certified","PHILIPPINES",2016,"CA","""A PLUS FABRIC, INC.""",1998,"","Bachelor's","Bachelor's","""Positions in sales, marketing, customer service, or related field.""","Sales Manager","CA",89523,"Year","Small","Unknown",330932
"52354",52353,2016,"Certified","INDIA",2016,"NJ","CARESOFT INC.",1994,"","Master's","Bachelor's","Any suitable title having similar duties and skills.","SOFTWARE DEVELOPER","NJ",83750,"Year","Small","CA or VT",316348
"35994",35993,2015,"Certified-Expired","INDIA",2016,"PA","HENKELS & MCCOY",1923,"","Master's","Bachelor's","""Senior Design Eng, DAS Sys. Solutions Eng, RF Eng, In-building RF Eng""","Senior Design Engineer","VA",127566,"Year","Large","CA or VT",261420
"7666",7665,2014,"Certified-Expired","INDIA",2014,"GEORGIA","SIMMONS BEDDING COMPANY",1870,"INDIA","Master's","Master's","Lean Specialist or Lean Mgr or related position","Regional Lean Leader","GEORGIA",104915,"Year","Large","CA or VT",162928
"37128",37127,2015,"Certified-Expired","INDIA",2016,"IL","CATERPILLAR INC.",1925,"","Master's","Bachelor's","","Engineering Specialist (Quality Assurance Cooling Products)","IL",99384,"Year","Large","CA or VT",265477
"30778",30777,2015,"Certified-Expired","CAMEROON",2015,"NJ","ERNST & YOUNG U.S. LLP",1989,"","Bachelor's","Master's","Assurance Staff–Audit Srvcs. or related","Assurance Senior - Audit Services","FL",69160,"Year","Large","CA or VT",241913
"35721",35720,2015,"Certified-Expired","CHINA",2016,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","See H.14","User Interface Designer","CA",123500,"Year","Large","Unknown",260452
"36142",36141,2015,"Certified-Expired","INDIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Hardware Engineer, Hardware Architect, System Engineer, or rel.""","Hardware Development Engineer II","TX",103126,"Year","Large","CA or VT",262027
"34653",34652,2015,"Certified-Expired","INDIA",2016,"CT","WEBILENT TECHNOLOGY INC.",2001,"","Bachelor's","Bachelor's","Programmer Analyst","Senior Mainframe Software Engineer","CT",100500,"Year","Medium","CA or VT",256436
"68682",68681,2016,"Certified","INDIA",2016,"NY","DEPOSITORY TRUST & CLEARING CORPORATION",1999,"","Master's","Master's","""IT Business Analyst,IT Data Analyst, Technology/Business Analyst or in a related occupation""","IT Business Systems Analyst","NJ",120224,"Year","Large","CA or VT",371435
"39421",39420,2015,"Certified-Expired","INDIA",2016,"IN","""LHP SOFTWARE, LLC""",2001,"","Bachelor's","Bachelor's","","Control Systems Engineer","IN",100027,"Year","Large","CA or VT",273188
"44917",44916,2015,"Certified","INDIA",2016,"CA","EBAY INC.",1995,"","Master's","Bachelor's","programmer analyst or software engineer","Software Engineer 3","CA",136890,"Year","Large","CA or VT",291200
"63214",63213,2016,"Certified","SOUTH KOREA",2016,"CA","SALESFORCE.COM",1999,"","Doctorate","Bachelor's","""in the field of software engineering, design research or user experience research""","Senior User Researcher","CA",145000,"Year","Large","CA or VT",353761
"61095",61094,2016,"Certified","CHINA",2016,"NY","BLOOMBERG L.P.",1981,"","Master's","Bachelor's","""Software Developer, Senior Software Developer or related""","Senior IT Analyst","NY",95000,"Year","Large","CA or VT",346397
"46044",46043,2015,"Certified","INDIA",2016,"NJ","""COMPUNNEL SOFTWARE GROUP, INC.""",1994,"","Bachelor's","Bachelor's","""ANY SUITABLE TITLE HAVING SIMILAR DUTIES, SKILLS AND TECHNOLOGY.""","BUSINESS ANALYST","NJ",86100,"Year","Large","CA or VT",295026
"23900",23899,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",216173
"54253",54252,2016,"Certified","CANADA",2016,"CA","""Macys.com, LLC""",1997,"","Master's","Bachelor's","""Associate Director, Technical/Software Architect, or related""","Senior Omnichannel Architect","CA",138362,"Year","Large","Unknown",322511
"27966",27965,2015,"Certified-Expired","INDIA",2015,"CA","""VERISIGN, INC.""",1995,"","Bachelor's","Master's","Any related occupation","Engineer III - Net/Sys QA","VA",96000,"Year","Large","CA or VT",231265
"37977",37976,2015,"Certified-Expired","INDIA",2016,"FL","""MODIS, INC.""",1996,"","Master's","Master's","","SENIOR QUALITY ASSURANCE ENGINEER","FL",117478,"Year","Large","CA or VT",268254
"44221",44220,2015,"Certified","INDIA",2016,"GA","""PROFICIENT BUSINESS SYSTEMS, INC.""",1994,"","Bachelor's","Master's","or other related occupation","Systems Analyst","GA",111384,"Year","Large","CA or VT",289061
"8952",8951,2014,"Certified-Expired","INDIA",2014,"WASHINGTON","""F5 NETWORKS, INC.""",1996,"INDIA","Master's","Bachelor's","Any job/job title meeting the requirements listed in H.14.","Test Engineer","WASHINGTON",100768,"Year","Large","CA or VT",167277
"34486",34485,2015,"Certified-Expired","INDIA",2016,"KS","DYNAMIC ITSOLUTIONS  INC",2005,"","Master's","Bachelor's","Any Reasonably Related Occupation is accepted","Senior Software Engineer","KS",90168,"Year","Small","CA or VT",255822
"59128",59127,2016,"Certified","CHINA",2016,"WA","MICROSOFT CORPORATION",1975,"","Master's","Bachelor's","Any computer related occupation.","Software Engineer II","WA",133500,"Year","Large","CA or VT",339553
"47699",47698,2016,"Certified","INDIA",2016,"TN","""NEWQUEST, LLC""",1999,"","Bachelor's","Bachelor's","IT field","Architecture Senior Specialist","TN",115000,"Year","Large","CA or VT",300676
"3101",3100,2013,"Certified","INDIA",2015,"TEXAS","LMD VENTURES INC",2008,"INDIA","Master's","Bachelor's","","BUSINESS MANAGER","TEXAS",68500,"Year","Small","CA or VT",145851
"69011",69010,2016,"Certified","INDIA",2016,"CA","MSC.SOFTWARE CORPORATION",1963,"","Bachelor's","Master's","Position as ERP Programmer/Analyst.","Programmer Analyst 3","CA",113402,"Year","Large","CA or VT",372477
"56683",56682,2016,"Certified","CHINA",2016,"CA","""QUALCOMM ATHEROS, INC.""",2011,"","Master's","Bachelor's","Software Engineer or related","Senior Firmware Architect/WiFi Protocols","CA",113423,"Year","Large","CA or VT",330755
"13131",13130,2014,"Certified-Expired","INDIA",2015,"ILLINOIS","CAPGEMINI FINANCIAL SERVICES USA INC.",1989,"INDIA","Bachelor's","Master's","""Job offered, Consultant, or related""","Lead Consultant","ILLINOIS",103626,"Year","Large","Unknown",180653
"18283",18282,2014,"Certified","INDIA",2015,"ILLINOIS","GLOBAL INFOTECH INC",2003,"INDIA","Master's","Bachelor's","""Programmer Analyst, Software Design/Development Engineer or Rel""","Software Engineer","ILLINOIS",84910,"Year","Small","CA or VT",197428
"6858",6857,2014,"Certified-Expired","INDIA",2014,"TEXAS","TETRA PAK GLOBAL INFO MANAGEMENT AMERICAS INC.",2001,"INDIA","Master's","Bachelor's","""business analysis, data analysis, financial analysis or related field""","Business Process Expert","TEXAS",85000,"Year","Medium","Unknown",160351
"41846",41845,2015,"Certified-Expired","INDIA",2016,"NJ","""COMPUNNEL SOFTWARE GROUP, INC.""",1994,"","Bachelor's","Bachelor's","""ANY SUITABLE TITLE HAVING SIMILAR DUTIES, SKILLS AND TECHNOLOGY.""","SOFTWARE DEVELOPER","NJ",83750,"Year","Large","CA or VT",281459
"11686",11685,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","""SAMSUNG SEMICONDUCTOR, INC.""",1983,"INDIA","Bachelor's","Master's","In job offered or in a related occupation","Senior Engineer","CALIFORNIA",113598,"Year","Large","CA or VT",176131
"22785",22784,2015,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",64438,"Year","Large","CA or VT",212357
"34353",34352,2015,"Certified-Expired","INDIA",2016,"FL","""AMZUR TECHNOLOGIES, INC.""",2004,"","Bachelor's","Bachelor's","Computer Software Professional","Systems Analyst","FL",85010,"Year","Medium","CA or VT",255265
"29524",29523,2015,"Certified-Expired","INDIA",2015,"CA","""SYNOPSYS, INC.""",1986,"","Bachelor's","Bachelor's","systems administration","""UNIX Systems Admin, Sr. I""","CA",90000,"Year","Large","CA or VT",237112
"55881",55880,2016,"Certified","INDIA",2016,"PA","""MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY""",2008,"","Bachelor's","Master's","""Systems Analyst, Software Engineer or Similar IT Position""","Senior Software Developer - Java","PA",101712,"Year","Large","CA or VT",328125
"38327",38326,2015,"Certified-Expired","INDIA",2016,"NJ","HEADSTRONG SERVICES LLC",1997,"","Bachelor's","Bachelor's","""Job offered or related software engg, prgrmmer, or sys analyst position""","Developer - Mainframe II (multiple positions)","TX",79747,"Year","Large","CA or VT",269431
"22143",22142,2013,"Denied","INDIA",2014,"CONNECTICUT","THE UNITED ILLUMINATING COMPANY",1899,"INDIA","Master's","Bachelor's","Financial Analyst","Lead Operational Analyst","CONNECTICUT",102440,"Year","Large","CA or VT",210124
"57832",57831,2016,"Certified","INDIA",2016,"GA","""PIORION SOLUTIONS, INC.""",2009,"","Master's","Master's","Programmer Analyst/IT Consultant/Team Lead/Software Developer","Programmer Analyst","GA",111384,"Year","Small","CA or VT",334671
"29094",29093,2015,"Certified-Expired","BRAZIL",2015,"NY","BARCLAYS CAPITAL INC.",1980,"","Master's","Master's","job offered or related role performing financial analysis for LATAM Emerging Markets","""Vice President, Emerging Markets Credit Trading""","NY",180000,"Year","Large","CA or VT",235978
"31146",31145,2015,"Certified-Expired","INDIA",2015,"NJ","ERNST & YOUNG U.S. LLP",1989,"","Master's","Master's","Advisory Senior; AVP (Tech Business Anlayst);  or related","""FSO–Technology Solutions Delivery, Regulatory Compliance Manager""","NY",141128,"Year","Large","CA or VT",243082
"15492",15491,2014,"Certified","INDIA",2015,"WASHINGTON","AMAZON CORPORATE LLC",1999,"INDIA","Master's","Bachelor's","""Operations Analyst, Program/Project Manager, or related occupation.""","Senior Program Manager","WASHINGTON",115000,"Year","Large","CA or VT",188385
"49236",49235,2016,"Certified","PHILIPPINES",2016,"ID","""MICRON TECHNOLOGY, INC.""",1978,"","Bachelor's","Bachelor's","""Electrical, Electronics or Computer Engineering""","Product Design Validation Engineer","CA",110485,"Year","Large","CA or VT",305903
"22725",22724,2014,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",64438,"Year","Large","CA or VT",212141
"26403",26402,2015,"Certified-Expired","INDIA",2015,"NY","""VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES""",2000,"","Master's","Bachelor's","See Item H.14 below","Member Technical Staff","TX",90000,"Year","Large","CA or VT",224838
"37346",37345,2015,"Certified-Expired","INDIA",2016,"CA","EBAY INC.",1995,"","Bachelor's","Bachelor's","programmer analyst or software engineer","""Software Engineer 3, Quality""","CA",112118,"Year","Large","CA or VT",266358
"48925",48924,2016,"Certified","INDIA",2016,"MA","""SCHNEIDER ELECTRIC USA, INC.""",1903,"","Master's","Bachelor's","See Section H.14","Staff Power System Engineer","MN",110000,"Year","Large","CA or VT",304827
"48498",48497,2016,"Certified","INDIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","WA",101088,"Year","Large","Unknown",303503
"43842",43841,2015,"Certified","INDIA",2016,"NJ","""HEXAWARE TECHNOLOGIES, INC.""",1990,"","Bachelor's","Other","""Tech Arch, Comp Sys Analyst, (Sr) Software Eng, SAP-HR Cnslt, HR Admin""","Senior Consultant (IT)","NJ",107120,"Year","Large","Unknown",287976
"61360",61359,2016,"Certified","INDIA",2016,"GA","BIRCH COMMUNICATIONS",1996,"","Master's","Master's","""rel. occupation of Software Dev, Application Dev or in software or application development position""","Software Developer (.Net)","GA",98600,"Year","Large","CA or VT",347371
"7018",7017,2014,"Certified-Expired","INDIA",2015,"MASSACHUSETTS","FMR LLC",1946,"INDIA","Master's","Master's","""job offered or management consulting, product strategy [CONT'D IN H.14]""","""Director, Managed Account Strategy""","RHODE ISLAND",115500,"Year","Large","CA or VT",160896
"49999",49998,2016,"Certified","INDIA",2016,"NJ","SYSTIME COMPUTER CORPORATION",1997,"","Bachelor's","Bachelor's","""Solutions Architect, Software Engineer, or related""","Technical Project Lead","NJ",101400,"Year","Medium","CA or VT",308471
"9774",9773,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","""CENTRAPRISE, CORP""",2011,"INDIA","Master's","Bachelor's","ANY SUITABLE JOB TITLE","SOFTWARE DEVELOPER","NEW JERSEY",76000,"Year","Medium","Unknown",170092
"58223",58222,2016,"Certified","CHINA",2016,"TX","NOKIA SOLUTIONS AND NETWORKS US LLC",1993,"","Master's","Bachelor's","""Network Engineering, systems, or related field""","LTE eNB Senior System Engineer","TX",82360,"Year","Large","Unknown",336159
"59157",59156,2016,"Certified","INDIA",2016,"TX","KASTECH SOLUTIONS LLC",2007,"","Master's","Bachelor's","Systems Analyst or Related","Software Engineer","TX",82618,"Year","Small","Unknown",339622
"6229",6228,2014,"Certified-Expired","INDIA",2014,"OHIO","""INFORMATION CONTROL COMPANY, LLC""",2013,"INDIA","Master's","Bachelor's","""Sr Consultant, BI Analyst, Developer, Software Engineer, or rel.""","Senior Consultant (BI Developer/Architect)","OHIO",85000,"Year","Large","CA or VT",158343
"34382",34381,2015,"Certified-Expired","CHINA",2016,"NE","""Novozymes Blair, Inc.""",2008,"","Master's","Bachelor's","Position involving automation engineering","Automation Support Engineer - Level 2","NE",80000,"Year","Medium","Unknown",255386
"5072",5071,2014,"Certified-Expired","INDIA",2014,"CALIFORNIA","CYPRESS SEMICONDUCTOR CORPORATION",1982,"UNITED ARAB EMIRATES","Bachelor's","Master's","""Product Engineer, Process Engineer or related""","Yield Engineer Senior","MINNESOTA",77139.96,"Year","Large","CA or VT",154486
"8279",8278,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","HCL AMERICA INC.",1988,"INDIA","Other","Other","""Consultant, Engineer or related field.""","Business Analyst","NORTH CAROLINA",67392,"Year","Large","CA or VT",164828
"36149",36148,2015,"Certified-Expired","SOUTH KOREA",2016,"PA","Penn Asian Senior Services",2005,"","Bachelor's","Other","","Community Coordinator","PA",25147,"Year","Large","Unknown",262059
"6413",6412,2014,"Certified-Expired","UNITED STATES OF AMERICA",2014,"TEXAS","EXTRIUS INC.",2004,"UNITED STATES OF AMERICA","Master's","Bachelor's","","Functional Consultant","TEXAS",76773,"Year","Small","CA or VT",158878
"53726",53725,2016,"Certified","INDIA",2016,"MA","REFLEXIS SYSTEMS",2001,"","Bachelor's","Bachelor's","Web-based software development and support using Java technologies","Software Engineer","GA",98000,"Year","Medium","CA or VT",320855
"50090",50089,2016,"Certified","INDIA",2016,"MA","FMR LLC",1946,"","Master's","Bachelor's","job offered or analyzing and querying [CONT'D IN H.14]","Quantitative Analyst","MA",105706,"Year","Large","CA or VT",308843
"1937",1936,2013,"Certified-Expired","MEXICO",2015,"TEXAS","FMC TECHNOLOGIES",1928,"MEXICO","Master's","Bachelor's","See H.14.","Global Sourcing Category Manager","TEXAS",119692,"Year","Large","CA or VT",141608
"26999",26998,2015,"Certified-Expired","INDIA",2015,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",64438,"Year","Large","CA or VT",227210
"49077",49076,2016,"Certified","CHINA",2016,"CA","""FORTINET, INC.""",2000,"","Bachelor's","Master's","Related occupation","Principal Software Engineer","CA",165000,"Year","Large","CA or VT",305322
"48955",48954,2016,"Certified","MALAYSIA",2016,"CA","""XILINX, INC.""",1984,"","Master's","Bachelor's","","Product Planner Scheduler","CA",103884.72,"Year","Large","CA or VT",305001
"35579",35578,2014,"Withdrawn","IRAN",2016,"CA","MARVELL SEMICONDUCTOR INC",1995,"","Doctorate","Master's","","Analog Design Engineer","CA",124100,"Year","Large","CA or VT",259875
"20879",20878,2015,"Withdrawn","INDIA",2015,"ILLINOIS","GLOBAL INFOTECH INC",2003,"INDIA","Bachelor's","Other","""Sr. Associate, Business Analyst or Rel""","Software Engineer","ILLINOIS",67200,"Year","Small","CA or VT",205712
"46890",46889,2015,"Certified","INDIA",2016,"TX","ERICSSON INC.",1984,"","Master's","Bachelor's","Please see H.14","Engineer - Software","CA",115253,"Year","Large","Unknown",297951
"31989",31988,2015,"Certified-Expired","INDIA",2015,"IA","AMERICAN TECHNOLOGY CONSULTING LLC",2011,"","Bachelor's","Bachelor's","See H-11","Computer Systems Analysts III","IA",90000,"Year","Medium","CA or VT",246674
"6723",6722,2014,"Certified-Expired","RUSSIA",2014,"NORTH CAROLINA","IBM CORPORATION",1911,"RUSSIA","Master's","Bachelor's","""Managing Strategy Consultant, Strategy Consultant, or related""","Managing Strategy Consultant","NEW YORK",77626,"Year","Large","Unknown",159896
"23214",23213,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","COMPEST SOLUTIONS INC",2005,"INDIA","Master's","Bachelor's","","Software Engineer","NEW JERSEY",75442,"Year","Medium","CA or VT",213880
"9728",9727,2014,"Certified-Expired","INDIA",2015,"UTAH","IHC HEALTH SERVICES INC",1975,"INDIA","Master's","Bachelor's","""Computer Science, Information Systems, or Electrical Engineering""","Senior Database Administrator","UTAH",85000,"Year","Large","CA or VT",169928
"24940",24939,2014,"Certified-Expired","INDIA",2014,"TEXAS","GLOBUS IT INCORPORATED",2008,"INDIA","Master's","Bachelor's","""* Information Technology Services Specialist, Programmer Analyst or Related""","Software Developer","TEXAS",76773,"Year","Small","Unknown",219591
"17126",17125,2015,"Certified","NEPAL",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"NEPAL","Master's","Bachelor's","","LTE Modem System Test Engineer","CALIFORNIA",95930,"Year","Large","CA or VT",193769
"46556",46555,2016,"Certified","INDIA",2016,"NY","VIMEO LLC",2004,"","Master's","Master's","Any suitable combination of educ/training/exp in (cont'd in H.14)","Senior Engineer (Data)","NY",134909,"Year","Medium","CA or VT",296739
"21090",21089,2015,"Certified","SOUTH KOREA",2015,"ILLINOIS","""ADRIAN SMITH + GORDON GILL ARCHITECTURE, LLP""",2006,"SOUTH KOREA","Master's","Master's","","Architectural Designer","ILLINOIS",60000,"Year","Medium","CA or VT",206368
"15592",15591,2014,"Certified","INDIA",2015,"VIRGINIA","""ICF RESOURCES, L.L.C.""",1989,"INDIA","Master's","Bachelor's","""Operations research, consulting, and/or engineering experience in energy market modeling""","Technical Specialist","VIRGINIA",91478,"Year","Large","CA or VT",188696
"42532",42531,2015,"Certified-Expired","INDIA",2016,"NJ","""CINERGY TECHNOLOGY, INC.""",2004,"","Bachelor's","Bachelor's","","SENIOR SYSTEMS ANALYST","NJ",101400,"Year","Small","CA or VT",283980
"61765",61764,2012,"Certified","INDIA",2016,"MA","""PATNI AMERICAS, INC.""",1972,"","Bachelor's","Other","""Software designer, developer, or tester""","Software Engineer","MA",83845,"Year","Large","CA or VT",348756
"48617",48616,2016,"Certified","CANADA",2016,"CA","""VMWARE, INC.""",1998,"","Bachelor's","Bachelor's","""Software Developer, Software Engineer (all levels) - See H.11""","Sr. VMware Technical Solutions Consultant (Software Engineer)","CA",142376,"Year","Large","Unknown",303967
"57460",57459,2016,"Certified","INDIA",2016,"IN","CUMMINS INC.",1919,"","Bachelor's","Bachelor's","""Software Engineer, Technical Leader or Advisor, or related position""","ADVANCED ENGINEERING SYSTEMS & SOFTWARE RESEARCH TEAM LEADER","IN",123926,"Year","Large","CA or VT",333441
"50493",50492,2016,"Certified","INDIA",2016,"CA","HCL AMERICA INC.",1988,"","Bachelor's","Bachelor's","Related IT or Engineering role","Senior Programmer Analysts","NJ",111114,"Year","Large","CA or VT",310172
"36060",36059,2015,"Withdrawn","SWEDEN",2016,"CA","LOYAL3 SECURITIES",2012,"","Other","None","Job offered or related","Sr. Software Developer","CA",167000,"Year","Medium","CA or VT",261753
"69565",69564,2016,"Withdrawn","INDIA",2016,"NY","""ANALYSIS & DESIGN APPLICATION CO., LTD.""",1980,"","Master's","Bachelor's","""Developing production code in C++, Java and client/server multi-threaded programming""","Senior Software Developer","TX",125000,"Year","Large","CA or VT",374355
"48484",48483,2016,"Certified","INDIA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","WA",101088,"Year","Large","CA or VT",303474
"8783",8782,2014,"Denied","PHILIPPINES",2015,"NEW JERSEY","HOLSMAN HEALTHCARE LLC",2004,"PHILIPPINES","Bachelor's","Master's","Occupational Therapy","Occupational Therapy Supervisor","NEW JERSEY",90000,"Year","Small","Unknown",166685
"41688",41687,2015,"Certified-Expired","INDIA",2016,"CA","""SONOS, INC""",2002,"","Master's","Bachelor's","Closely related occupation.","Senior Test Engineer / ETL QA Data Services","CA",105000,"Year","Large","CA or VT",280887
"24431",24430,2015,"Certified","INDIA",2015,"MICHIGAN","Wacker Chemical Corporation",1974,"INDIA","Master's","Bachelor's","""Business Manager - Standard Products, Controlling, E-Business""","Business Manager - Standard Products","MICHIGAN",110906,"Year","Large","CA or VT",217885
"22849",22848,2015,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Business Analyst - II","TEXAS",67475,"Year","Large","Unknown",212556
"2844",2843,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",144894
"52531",52530,2016,"Certified","INDIA",2016,"MA","MAXIMA CONSULTING INC",1993,"","Master's","Bachelor's","","Software Engineer","MA",112632,"Year","Medium","CA or VT",316924
"7670",7669,2014,"Certified-Expired","INDIA",2014,"ILLINOIS","""MGP, INC.""",1995,"INDIA","Bachelor's","Bachelor's","Related experience in the field","""Associate Vice President, Regulatory Affairs and Analytical Development""","ILLINOIS",173000,"Year","Small","CA or VT",162938
"57282",57281,2016,"Certified","INDIA",2016,"NJ","""COMPUNNEL SOFTWARE GROUP, INC.""",1994,"","Master's","Bachelor's","""ANY SUITABLE TITLE HAVING SIMILAR DUTIES, SKILLS AND TECHNOLOGY.""","SOFTWARE DEVELOPER","NJ",83750,"Year","Large","CA or VT",332672
"4369",4368,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","""AUTOMATIC DATA PROCESSING, INC.""",1961,"INDIA","Bachelor's","Bachelor's","""Software Engineer, Java Developer or Consultant""","Manager Systems Analysis/Programming","NEW JERSEY",132568.12,"Year","Large","CA or VT",152095
"7731",7730,2014,"Certified-Expired","CHINA",2014,"CALIFORNIA","GOOGLE INC.",1998,"CHINA","Doctorate","Doctorate","See H.14","Software Engineer","CALIFORNIA",129600,"Year","Large","CA or VT",163117
